LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-05-30 09:16:36,1900-01-00 00:00:00,,64:DB:38:2D:8E:8E,-53, ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:36,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:36,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:36,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:36,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:37,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:38,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:39,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:40,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:40,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:40,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:40,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:40,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:40,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:41,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:42,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:43,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:44,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:44,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:44,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-30 09:16:44,1900-01-00 00:00:00,PTO03-3G,64:DB:38:2D:8E:8E,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
